"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",positive,december alone  member lithuanian brewer  association sell total 203 million liter beer  increase 19 percent sale 1992 million liter december 2004 ,2
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,januaryseptember 2009  group net interest income increase eur 1124 mn eur 743 mn januaryseptember 2008 ,2
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive,q1 2010  bank àland net interest income increase eur 91 mn eur 97 mn ,2
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive,sweden  operate profit period review total eur 34 mn  308  correspond period 2005 ,2
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,fourth quarter 2009  orion net profit go 338  yearonyear eur33m ,2
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,second quarter 2010  group net profit rise eur 31 million eur 25 million apriljune 2009 ,2
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,second quarter 2010  group net profit rise eur3 1 eur2 5 apriljune 2009 ,2
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,third quarter  net sale increase 12  yearonyear eur 1595 million  6  comparable currency rate growth ,2
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,third quarter  net sale increase 12  yearonyear eur159 5  6  comparable currency rate growth ,2
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,market share widen 4851 percent 4831 percent year earlier ,2
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive,kesko agro eesti  retailer wholesaler grain  agricultural warehouse machinery accessory  net sale 81 million euro 2007  increase onetenth precede year ,2
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive,kesko car import retail business  vvauto  saw sale grow 171 pct ,2
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone net sale rise 14  yearonyear first nine month 2008 ,2
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive, adp news   feb 11  2009  finnish management software solution provider ixonos oyj  hel  xns1v  say today net profit rise eur 35 million  usd 45  2008 eur 31 million 2007 ,2
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive, adp news   feb 12  2009  finnish solution provider affecto oyj  hel  afe1v  say today net profit rise eur 85 million  usd 11m  2008 eur 7 million 2007 ,2
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive, adp news   feb 6  2009  finnish fish tackle company rapala vmc corp  hel  rap1v  say today net profit rise eur 192 million  usd 246  2008 eur 175 million 2007 ,2
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive, adp news   nov 5  2008  finnish electronic measurement product solution maker vaisala oyj  omx  vaias  say today net profit rise eur 18 million  usd 231  first nine month 2008 eur 1,2
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",positive, adp news   oct 29  2008  finnish lift equipment maker konecranes oyj  omx  kcr1v  say today net profit rise eur 1166 million  usd 1491  first nine month 2008 eur 736 million,2
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive,metso expect net sale increase 10  2008  comparable exchange rate ,2
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,net interest income increase 45  eur 314 mn eur 300 mn 2004 ,2
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,net interest income wa eur 1522 mn  eur 1010 mn 2008 ,2
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,net interest income wa eur 393 mn  eur 327 mn ,2
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,net sale vegetable oil business rise eur 106 mn eur 101 mn ,2
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",positive,nokia multimedia net sale total eur 57 bn  45  correspond period 2005 ,2
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,operate income rise eur 6964 mn eur 6003 mn 2009 ,2
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,operate profit kauppalehti group rise eur 15 mn eur 13 mn  marketplace eur 13 mn eur 10 mn third quarter 2006 ,2
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,operate profit rise eur 194 mn eur 245 mn ,2
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,operate profit rise 221 mln eur 199 mln ,2
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive,operate profit rise eur 16 mn eur 11 mn correspond period 2006 ,2
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive,operate profit rise eur 1034 mn eur 232 correspond period 2006 ,2
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive,operate profit rise eur 135 mn eur 97 mn correspond period 2006 ,2
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive,operate profit rise eur 267 mn eur 149 mn correspond period 2006 ,2
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,operate profit rise eur 278 mn eur 175 mn 2008 ,2
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive,operate profit rise eur 32 mn eur 10 mn correspond period 2008 ,2
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive,operate profit rise eur 47 mn eur 36 mn ,2
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,operate profit rise eur 47 mn eur 46 mn ,2
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive,operate profit rise eur 92 mn eur 68 mn correspond period 2007 ,2
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive,operate profit rise eur2 4 eur1 6 year earlier ,2
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,operate profit surge eur21m eur106 000 ,2
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,operate profit total eur 377 mn  slightly eur 372 mn correspond period 2006 ,2
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",positive,operate profit total eur 55 mn  eur 07 mn ,2
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",positive,operate profit wa eur 114 mn  eur 75 mn ,2
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,operate profit wa eur 1397 mn  23  eur 1138 mn ,2
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,order intake grow 40  yearonyear 30  yearonyear  respectively  eur 576 million eur 17 billion respective januaryseptember julyseptember 2010 period ,2
Orders received grew by 55 % year-on-year to EUR732m .,positive,order receive grow 55  yearonyear eur732m ,2
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,orion pharma operate profit increase 425  2004 ,2
Passenger volumes rose by 8.4 % in the accounting period .,positive,passenger volume rise 84  account period ,2
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive,passengerrelated revenue rise 51  eur 4608 mn eur 4385 mn 2009 ,2
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive,pretax profit rise eur 06 mn eur 04 mn correspond period 2005 ,2
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive,pretax profit rise eur 1019 mn eur 1007 correspond period 2005 ,2
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,pretax profit rise eur 178 mn eur 149 mn 2005 ,2
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",positive,pretax profit total eur 3974 mn  eur 1647 mn ,2
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",positive,profit period total eur 394 mn  eur 339 mn correspond period 2006 ,2
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit period wa eur 59 mn  eur 13 mn ,2
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",positive,profit period wa eur 98 mn  eur 60 mn 2004 ,2
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive,revenue grow 12 percent   x20ac  36 billion  u 45 billion  ,2
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,revenue july september grow 14 percent  euro  467 million year earlier  company say thursday ,2
Revenues at the same time grew 14 percent to 43 million euros .,positive,revenue time grow 14 percent 43 million euro ,2
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,sale latin america increase 42  eur 432mn  total 87 mn mobile device sell area  represent increase 32  correspond period 2009 ,2
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive,sanoma magazine finland net sale grow eur 1401 mn eur 1318 mn ,2
